title,creators,title_screen,abstract_screen,reason
Access Security Policy Generation for Containers as a Cloud Service,"Zhu, Hui ; Gehrmann, Christian ; Roth, Paula",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Simulation-based Testing of Unmanned Aerial Vehicles with Aerialist,"Khatiri, Sajad ; Panichella, Sebastiano ; Tonella, Paolo",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,"Feng, Yang ; Lin, Zheyuan ; Zhao, Dongchen ; Zhou, Mengbo ; Liu, Jia ; Jones, James A.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
GoBench: a benchmark suite of real-world go concurrency bugs,"Yuan, Ting ; Li, Guangwei ; Lu, Jie ; Liu, Chen ; Li, Lian ; Xue, Jingling",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Fixing Outside the Box: Uncovering Tactics for Open-Source Security Issue Management,"Zhang, Lyuye ; Wu, Jiahui ; Liu, Chengwei ; Li, Kaixuan ; Sun, Xiaoyu ; Zhao, Lida ; Wang, Chong ; Liu, Yang",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
CXXCrafter: An LLM-Based Agent for Automated C/C++ Open Source Software Building,"Yu, Zhengmin ; Zhang, Yuan ; Wen, Ming ; Nie, Yinan ; Zhang, Wenhui ; Yang, Min",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A conceptual replication of continuous integration pain points in the context of Travis CI,"Widder, David Gray ; Hilton, Michael ; Kästner, Christian ; Vasilescu, Bogdan",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Designing Quality MPI Correctness Benchmarks: Insights and Metrics,"Jammer, Tim ; Schwitanski, Simon ; Saillard, Emmanuelle ; Huck, Alexander ; Jenke, Joachim ; Vinayagame, Radjasouria ; Bischof, Christian",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
How do Developers Talk about GitHub Actions? Evidence from Online Software Development Community,"Zhang, Yang ; Wu, Yiwen ; Chen, Tingting ; Wang, Tao ; Liu, Hui ; Wang, Huaimin",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
From Code to Execution: Multi-Agent GraphRAG for Automated Artifact Generation,"Layegh, Amirhossein ; Payberah, Amir H. ; Matskin, Mihhail",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
On the Reproducibility of Software Defect Datasets,"Zhu, Hao-Nan ; Rubio-González, Cindy",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
One size does not fit all: an empirical study of containerized continuous deployment workflows,"Zhang, Yang ; Vasilescu, Bogdan ; Wang, Huaimin ; Filkov, Vladimir",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Semantics-aware scheduling policies for synchronization determinism,"Zhao, Qi ; Qiu, Zhengyi ; Jin, Guoliang",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Automatic Failure Recovery for Container-Based IoT Edge Applications,"Olorunnife, Kolade ; Lee, Kevin ; Kua, Jonathan",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"Widening The Adoption of Web API Fuzzing: Docker, GitHub Action and Python Support for EvoMaster","Arcuri, Andrea ; Garrett, Philip ; Galeotti, Juan Pablo ; Zhang, Man",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Understanding Self-Admitted Technical Debt in Test Code: An Empirical Study,"Nakamura, Ibuki ; Kashiwa, Yutaro ; Lin, Bin ; Iida, Hajimu",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Do SDN configuration changes get reviewed differently? An empirical study at TELUS,"Kansab, Samah ; Aïdasso, Henri ; Bordeleau, Francis ; Tizghadam, Ali",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
WebAssembly Orchestration in the Context of Serverless Computing,"Kjorveziroski, Vojdan ; Filiposka, Sonja",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
An Empirical Study of Automated Machine Learning Python Libraries Using Source Code Analysis,"O’Leary, Christian ; Lynch, Conor ; Toosi, Farshad Ghassemi",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Building a Modular and Fault-Tolerant Trading System: A Microservices Approach to Scalable Asset Exchange,"Guru, Dhivya ; Chinnaiah, Baskar ; Subramaniam, Senthilraj",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
An Empirical Study on Quality Issues of Deep Learning Platform,"Gao, Yanjie ; Shi, Xiaoxiang ; Lin, Haoxiang ; Zhang, Hongyu ; Wu, Hao ; Li, Rui ; Yang, Mao",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Empirical evidence on technical challenges when adopting continuous practices,"Portela, André ; de França, Breno Bernard Nicolau",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
ActionsRemaker: Reproducing GitHub Actions,"Zhu, Hao-Nan ; Guan, Kevin Z. ; Furth, Robert M. ; Rubio-González, Cindy",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
On combining commit grouping and build skip prediction to reduce redundant continuous integration activity,"Kamath, Divya M. ; Fernandes, Eduardo ; Adams, Bram ; Hassan, Ahmed E.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"""@alex, this fixes #9"": Analysis of Referencing Patterns in Pull Request Discussions","Chopra, Ashish ; Mo, Morgan ; Dodson, Samuel ; Beschastnikh, Ivan ; Fels, Sidney S. ; Yoon, Dongwook",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Software-Defined Edge Cloud Framework for Resilient Multitenant Applications,"Divakara, Chinmayi ; Kamaal, Tejeshwar ; Gurudutt, Abhishek ; Manangi Ravindrarao, Nagthej ; Liu, Kaikai ; Prabhakaran, Praveen; Chen, Yu",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
On the Nature of Issues in Five Open Source Microservices Systems: An Empirical Study,"Waseem, Muhammad ; Liang, Peng ; Shahin, Mojtaba ; Ahmad, Aakash ; Nassab, Ali Rezaei; Chitchyan, Ruzanna ; Li, Jingyue ; Weber, Barbara ; Yue, Tao",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
ElasticMiter: Formally Verified Dataflow Circuit Rewrites,"Elakhras, Ayatallah ; Xu, Jiahui ; Erhart, Martin ; Ienne, Paolo ; Josipovi?, Lana",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Longevity of Artifacts in Leading Parallel and Distributed Systems Conferences: a Review of the State of the Practice in 2023,"Guilloteau, Quentin ; Ciorba, Florina ; Poquet, Millian ; Goepp, Dorian ; Richard, Olivier",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Automated Grading for Advanced Topics Courses,"Maicus, Evan E",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Building deduplicated model repositories to assess domain-specific languages evolution,"Lachance, Alexandre ; Mosser, Sebastien",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Incremental flattening for nested data parallelism,"Henriksen, Troels ; Thorøe, Frederik ; Elsman, Martin ; Oancea, Cosmin",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Scientific Tests and Continuous Integration Strategies to Enhance Reproducibility in the Scientific Software Context,"Krafczyk, Matthew ; Shi, August ; Bhaskar, Adhithya ; Marinov, Darko ; Stodden, Victoria",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
The Impact of an Automation System Built with Jenkins on the Efficiency of Container-Based System Deployment,"Hyun, Giwoo ; Oak, Jiwon ; Kim, Donghoon ; Kim, Kunwoo",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Local software buildability across Java versions,"Sulír, Matúš ; Porubän, Jaroslav ; Chodarev, Sergej",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Autograding Distributed Algorithms in Networked Containers,"Maicus, Evan ; Peveler, Matthew ; Patterson, Stacy ; Cutler, Barbara",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
DockerizeMe: Automatic Inference of Environment Dependencies for Python Code Snippets,"Horton, Eric ; Parnin, Chris",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Towards A Standardized Aerial Platform: ICUAS’22 Firefighting Competition,"Markovic, Lovro ; Petric, Frano ; Ivanovic, Antun ; Goricanec, Jurica ; Car, Marko ; Orsag, Matko ; Bogdan, Stjepan",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
An Empirical Study of Fuzz Harness Degradation,"Görz, Philipp ; Schilling, Joschua ; Bissantz, Nicolai ; Holz, Thorsten",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"SWE Data Construction, Automatically!","Guo, Lianghong ; Wang, Yanlin ; Li, Caihua ; Tao, Wei ; Yang, Pengyu ; Chen, Jiachi ; Song, Haoyu ; Tang, Duyu ; Zheng, Zibin",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
V2: fast detection of configuration drift in Python,"Horton, Eric ; Parnin, Chris",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
On the benefits and limits of incremental build of software configurations: an exploratory study,"Randrianaina, Georges Aaron ; Tërnava, Xhevahire ; Khelladi, Djamel Eddine ; Acher, Mathieu",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Will it run?—A proof of concept for smoke testing decentralized data analytics experiments,"Welten, Sascha ; Weber, Sven ; Holt, Adrian ; Beyan, Oya ; Decker, Stefan",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
The Impact of Code Ownership of DevOps Artefacts on the Outcome of DevOps CI Builds,"Kola-Olawuyi, Ajiromola ; Weeraddana, Nimmi Rashinika ; Nagappan, Meiyappan",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Learning DevOps,"Verona, Joakim ; Duffy, Michael ; Swartout, Paul",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Examining Cryptography and Randomness Failures in Open-Source Cellular Cores,"English, K. Virgil ; Bennett, Nathaniel ; Thorn, Seaver ; Butler, Kevin R. B. ; Enck, William ; Traynor, Patrick",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Continuous Integration for HPC with Github Actions and Tapis,"Pachev, Benjamin ; Stuart, Georgia ; Dawson, Clint; Wernert, Julie ; Chalker, Alan ; Smallen, Shava ; Samuel, Tabitha ; Navarro, JP",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Minimizing privilege for building HPC containers,"Priedhorsky, Reid ; Canon, R. Shane ; Randles, Timothy ; Younge, Andrew J.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
ATTEST: Automated and Thorough Testing of Embedded Software in Teaching,"Kissich, Meinhard ; Weinbauer, Klaus ; Baunach, Marcel; Mottok, Jürgen",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
An empirical study on self-admitted technical debt in Dockerfiles,"Azuma, Hideaki ; Matsumoto, Shinsuke ; Kamei, Yasutaka ; Kusumoto, Shinji",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Refactorings and technical debt in docker projects: an empirical study,"Ksontini, Emna ; Kessentini, Marouane ; Ferreira, Thiago do N. ; Hassan, Foyzul",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
An Empirical Case Study on the Temporary File Smell in Dockerfiles,"Lu, Zhigang ; Xu, Jiwei ; Wu, Yuewen ; Wang, Tao ; Huang, Tao",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Quantifying and characterizing clones of self-admitted technical debt in build systems,"Xiao, Tao ; Zeng, Zhili ; Wang, Dong ; Hata, Hideaki ; McIntosh, Shane ; Matsumoto, Kenichi",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,"Rosa, Giovanni ; Scalabrino, Simone ; Robles, Gregorio ; Oliveto, Rocco",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,"Bui, Quang-Cuong ; Laukotter, Malte ; Scandariato, Riccardo",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Towards microservice smells detection,"Pigazzini, Ilaria ; Fontana, Francesca Arcelli ; Lenarduzzi, Valentina ; Taibi, Davide",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
DRIVE: Dockerfile Rule Mining and Violation Detection,"Zhou, Yu ; Zhan, Weilin ; Li, Zi ; Han, Tingting ; Chen, Taolue ; Gall, Harald",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
KubeHound: Detecting Microservices’ Security Smells in Kubernetes Deployments,"Dell’Immagine, Giorgio ; Soldani, Jacopo ; Brogi, Antonio",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Polyglot Code Smell Detection for Infrastructure as Code with GLITCH,"Saavedra, Nuno ; Goncalves, Joao ; Henriques, Miguel ; Ferreira, Joao F. ; Mendes, Alexandra",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
RUDSEA: recommending updates of Dockerfiles via software environment analysis,"Hassan, Foyzul ; Rodriguez, Rodney ; Wang, Xiaoyin",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Automated detection of algorithm debt in deep learning frameworks: an empirical study,"Simon, Emmanuel Iko-Ojo ; Hettiarachchi, Chirath ; Potanin, Alex ; Suominen, Hanna ; Fard, Fatemeh",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Exploring the relationship between dockerfile quality and project characteristics,"Wu, Yiwen",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile,"Ksontini, Emna ; Abid, Aycha ; Khalsi, Rania ; Kessentini, Marouane",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
A Large-scale Data Set and an Empirical Study of Docker Images Hosted on Docker Hub,"Lin, Changyuan ; Nadi, Sarah ; Khazaei, Hamzeh",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Assessing and Improving the Quality of Docker Artifacts,"Rosa, Giovanni ; Scalabrino, Simone ; Oliveto, Rocco",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Continuous Quality Improvement of AI-based Systems: the QualAI Project,"Novielli, Nicole ; Oliveto, Rocco ; Palomba, Fabio ; Calefato, Fabio ; Colavito, Giuseppe ; De Martino, Vincenzo ; Della Porta, Antonio ; Giordano, Giammaria ; Guglielmi, Emanuela ; Lanubile, Filippo ; Quaranta, Luigi ; Recupito, Gilberto ; Scalabrino, Simone ; Spina, Angelica ; Vitale, Antonio; Franch, Xavier ; Daneva, Maya ; Martínez-Fernández, Silverio ; Quaranta, Luigi",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Burner: Recipe Automatic Generation for HPC Container Based on Domain Knowledge Graph,"Zhong, Shuaihao ; Wang, Duoqiang ; Li, Wei ; Lu, Feng ; Jin, Hai; Wang, Yingjie",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Predicting Software Refactoring With a Reinforcement Learning Framework Using Deep Q Network,"Misra, Sanjay ; Patnaik, Archana ; Padhy, Neelamadhab ; Kumar, Lov ; Panigrahi, Rasmita",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Modus: a Datalog dialect for building container images,"Tomy, Chris ; Wang, Tingmao ; Barr, Earl T. ; Mechtaev, Sergey",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Developer interaction traces backed by IDE screen recordings from think aloud sessions,"Yamashita, Aiko ; Petrillo, Fabio ; Khomh, Foutse ; Guéhéneuc, Yann-Gaël",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
FindICI: Using machine learning to detect linguistic inconsistencies between code and natural language descriptions in infrastructure-as-code,"Borovits, Nemania ; Kumara, Indika ; Di Nucci, Dario ; Krishnan, Parvathy ; Palma, Stefano Dalla ; Palomba, Fabio ; Tamburri, Damian A. ; Heuvel, Willem-Jan van den",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
"Exploring the Dependency Network of Docker Containers: Structure, Diversity, and Relationship","Zhang, Yinyuan ; Zhang, Yang ; Wu, Yiwen ; Lu, Yao ; Wang, Tao ; Mao, Xinjun",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
From static code analysis to visual models of microservice architecture,"Cerny, Tomas ; Abdelfattah, Amr S. ; Yero, Jorge ; Taibi, Davide",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Patterns of multi-container composition for service orchestration with Docker Compose,"Eng, Kalvin ; Hindle, Abram ; Stroulia, Eleni",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Applying Model-Driven Engineering to Stimulate the Adoption of DevOps Processes in Small and Medium-Sized Development Organizations: The Case for Microservice Architecture,"Sorgalla, Jonas ; Wizenty, Philip ; Rademacher, Florian ; Sachweh, Sabine ; Zündorf, Albert",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Understanding and Predicting Docker Build Duration: An Empirical Study of Containerized Workflow of OSS Projects,"Wu, Yiwen ; Zhang, Yang ; Xu, Kele ; Wang, Tao ; Wang, Huaimin",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
A study of how Docker Compose is used to compose multi-component systems,"Ibrahim, Md Hasan ; Sayagh, Mohammed ; Hassan, Ahmed E.",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Securing the Foundation of AI: A Deep Dive into Dependency Management and Security in Deep Learning Frameworks,"Tan, Xin ; Hou, Bo ; Zhang, Li",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Unveiling the Energy Vampires: A Methodology for Debugging Software Energy Consumption,"Roque, Enrique Barba ; Cruz, Luis ; Durieux, Thomas",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Enhancing software quality of CI/CD pipeline through continuous testing: a DevOps-driven maintainable hybrid automation testing framework,"Patel, Akshit Raj ; Tyagi, Sulabh",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Applying Model-Driven Engineering to Stimulate the Adoption of DevOps Processes in Small and Medium-Sized Development Organizations,"Sorgalla, Jonas ; Wizenty, Philip ; Rademacher, Florian ; Sachweh, Sabine ; Zündorf, Albert",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
